Bild1 	 Gen1 	 Stage 	 Bild2 	 Gen2 	 Wert
insitu10026.png	"CG6897"	5880	insitu11546.png	"CG11334"	0.7644534703745249
insitu10026.png	"CG6897"	5880	insitu11563.png	"CG32066"	0.7189398278632138
insitu10026.png	"CG6897"	5880	insitu11585.png	"CG3987"	0.04713376456850794
insitu10026.png	"CG6897"	5880	insitu11617.png	"TBPH"	0.5205585967980724
insitu10026.png	"CG6897"	5880	insitu11618.png	"TBPH"	0.5926662583099678
insitu10026.png	"CG6897"	5880	insitu11625.png	"NetB"	-0.32042548859495623
insitu10026.png	"CG6897"	5880	insitu11644.png	"NetB"	-0.27626209553743114
insitu10026.png	"CG6897"	5880	insitu11667.png	"BcDNA:GH10270"	-0.15738002465187437
insitu10026.png	"CG6897"	5880	insitu11695.png	"sm"	-0.2591802077320497
insitu10026.png	"CG6897"	5880	insitu11697.png	"EG:22E5.7"	0.8096062624259005
insitu10026.png	"CG6897"	5880	insitu11720.png	"CG1937"	0.5790837281591382
insitu10026.png	"CG6897"	5880	insitu11721.png	"Pcaf"	0.7760504982975401
insitu10026.png	"CG6897"	5880	insitu11722.png	"Pcaf"	0.7807997853963419
insitu10026.png	"CG6897"	5880	insitu11740.png	"CG7149"	0.15197371843278354
insitu10026.png	"CG6897"	5880	insitu11784.png	"Argk"	0.6892723323532373
insitu10026.png	"CG6897"	5880	insitu11787.png	"CG14509"	0.6551396774570476
insitu10026.png	"CG6897"	5880	insitu11788.png	"CG14509"	0.31621493785849797
insitu10026.png	"CG6897"	5880	insitu11802.png	"CG3860"	0.6383497073866312
insitu10026.png	"CG6897"	5880	insitu11803.png	"CG3860"	0.8060332081359004
insitu10026.png	"CG6897"	5880	insitu11816.png	"skf"	0.24445900641150742
insitu10026.png	"CG6897"	5880	insitu11834.png	"Phm"	0.7131544547840071
insitu10026.png	"CG6897"	5880	insitu11847.png	"CG16953"	0.7298777639701861
insitu10026.png	"CG6897"	5880	insitu11875.png	"CG33097"	0.8002918353958515
insitu10026.png	"CG6897"	5880	insitu11882.png	"CG4829"	0.13838380458854088
insitu10026.png	"CG6897"	5880	insitu11924.png	"Idgf2"	0.8132896831644405
insitu10026.png	"CG6897"	5880	insitu11942.png	"kar"	0.7596356360888544
insitu10026.png	"CG6897"	5880	insitu11957.png	"CG32026"	-0.1516415004645351
insitu10026.png	"CG6897"	5880	insitu11984.png	"dnc"	0.7623489524953507
